Id,Text,Trinary,Source
1,when the time comes for all to know it will be to late,0,http://sentistrength.wlv.ac.uk/documentation/6humanCodedDataSets.zip
2,"""@princessofportk The first are a pair of devil horns, and the second look like a pair of cat or feline like ears""",-1,
3,"""I gotta feeling they partlishly took it off fomr MIB anime ep form the american unless they took that one off from it, but the story is really different.""",0,
4,"""As we look at ways to be relevant, here is a good video perspective to consider (in order to avoid :) )""",1,
5,"""Not a lot of """"removing"""" going on here... bucket teeth removal maybe.""",0,
6,I love looking at old gravestones,-1,
7,"""@qingian they represent HK. but considering how their last names are spelled, i think they are from China. they don't get to represent China because they're not as good as Ma Long, Zhang Jike and Xu XIn.""",1,
8,"""@Invaderkibachan2 xD Okay! Um, I finished, but the whole thing is only about nine seconds, so I feel like it'd be a waste to upload something so short as a video. Would it be possible for me to e-mail the file to you? Or upload it somewhere, and messa""",1,
9,so THATS why they always tell you to wear a helmet; i always thought the concept of damaging the head via falling off a bike was very unlikely,0,
10,Haha at 4:00 Alex looks so frustrated at whoever is opening the door.,-1,
11,Awwwwwww Matty Looks Adorablee<3 Cuteiee Vid Eulia NO MORE OF ME AND MATT PLEASE.! (;,1,
12,"""I got an ocarina just to play this song. And now, i must learn it on flute.""",0,
13,Pastor Morgan brought a powerful encouraging word to us in that service. I really enjoyed her. To GOD be the Glory!!!,1,
14,"""if that was supposed to rhyme, it didn't""",0,
15,Absolutely awesome!! Impressive.,1,
16,hahaha ''stinker'',-1,
17,kya baat hai! too sick!!,-1,
18,I was waiting for tomorrow but i called today and they already have it since a few days. I am from Argentina (South America) i really dont know how it works i think they dont respect release dates. Next time i go i will make sure to ask and send you guys a voice mail.,-1,
19,st. johns goes HARD! illmac! also check out this artist named Vinnie Dewayne.,0,
20,"""Yeah, because a minute and a half definitely equals 30 sec.""",0,
21,great guy but this wasnt a special video lets be honest,1,
22,Yea..the Senior CIA analyst during Saddam's Era is definitely not a credible source. He's the last person who should be commenting on Iraq. Anyways... I'm done with this argument. Good Day sir.,-1,
23,Do anyone know if thats Jim Ryan in the background?,0,
24,"""yes i agree i had an 07 ego then switched to angel a1 and a kid at my local field had one and it shot smoother than my a1 wich i belive was about 40% smoother than my ego now aday's all guns $ 300 and over will do 20bps out of the box its just how you like the feel of it thats why i went angel beacuse i love the way they feel,""",1,
25,loved the video joey it was awesome :O,1,
26,@ChibiChanColors actually she reminds me of yuki from the melancholy of haruhi suzumiya.,-1,
27,this is such a high quality game i cannot believe it. it is a lot greater than mw1. ive only just attained the 2nd prestige ! i'm so delighted. got the game only yesterday evening from mw2forfreeYinfo (replace Y with . ) but im undoubtedly annihilating most people!,1,
28,epic song fo sho,0,
29,Poor Maddie!! :( Awesome chapter,-1,
30,it sounds a bit like starn,1,
31,Awesome song Danger Danger rocks,1,
32,This is my favorite song. He told me it's about his guitar.,1,
33,reminds me of some of the old timers up here in the hills! awesome!,1,
34,"""Hahahhahaha I did that same thing with my smog eyesalhadow! I put myself on a project """"hit pan"""" like for a month I had to use only certian eyeshadows like ud's smog. I used it literally everyday in september and I got so obsessed like when am I going to hit pan it's been forever!! :P so anyways I totally feel ya and basically were both crazy. :)""",-1,
35,i just love him.... a looooooooot..... he's the ideal one...,1,
36,"""YOU ARE MOST WELCOME.... and if you have any questions, I am here to help.""",1,
37,"""infinite possibilities, thanks for postingone love :)""",1,
38,i love this!!!! way better then the original :D,1,
39,were the fuck are the lyrics u suck man...but the song is great..SOAD forever,-1,
40,"""it's """"phenomenon"""" by thousand foot krutch""",0,
41,Jeez I was starting to think you wouldn't post up my tage >.> lol thanks But I'm not in the description :O,-1,
42,Ian gillan is the best........,1,
43,looks like we're not guna see kenpachi 4 a couple more episodes,1,
44,"""Everytime i bun 1, its this tune dat gets repeated! Peepz listen 2 what both are saying...""",0,
45,CHocoolate! :D,1,
